name,title,url,date,languages,tags,tags_en,domain,author,meta_description,description,description_en,og_img_url
distrosea,DistroSea,https://distrosea.com/de/,2024-10-25,"en, de",#Linux,#Linux,distrosea.com,,"Testen Sie Ubuntu, Mint, Debian, Arch, Fedora, openSUSE und viele Linux-Distributionen schnell und kostenlos online in Ihrem Webbrowser. Keine Installation oder Live-Boot erforderlich.",Die Qual der Wahl der Linux Distros. Mit Distrosea kann man einen Blick über den Tellerrand wagen. Es kann Linux Neueinsteigern helfen eine passende Auswahl zu treffen.,The agony of choice of Linux distros. With Distrosea you can take a look outside the box. It can help Linux newcomers to make the right choice.,https://distrosea.com/hotlink-ok/og.png
formbricks,Formbricks – the Open Source Qualtrics Alternative,https://formbricks.com/,2024-11-15,en,#Formular,#Form,formbricks.com,,"Own your data, build better experiences.","Eine Formulargenerator für das Erstellen von Umfragen, die in Websites und Apps eingebunden werden können. Es ist eine Open Source, datenschutzfreundliche Lösung, die auch selbst gehostet werden kann.","A form generator for creating surveys that can be integrated into websites and apps. It is an open source, privacy-friendly solution that can also be self-hosted.",https://formbricks.com/api/og?title=The%20Open%20Source%20Qualtrics%20Alternative
rz-byleitfaden-barrierefreiheit,RZ-BY/Leitfaden-Barrierefreiheit,https://github.com/RZ-BY/Leitfaden-Barrierefreiheit,2021-03-04,de,#Barrierefreiheit,#Accessibility,github.com,,Leitfaden zur digitalen Barrierefreiheit. Contribute to RZ-BY/Leitfaden-Barrierefreiheit development by creating an account on GitHub.,Ein umfangreicher Leitaden einer Hochschule zur Barrierefreiheit. Dieser ist öffentlich auf Github geteilt.,A comprehensive guide to accessibility from a university. This is publicly shared on Github.,
how-https-works,How HTTPS Works,https://howhttps.works/why-do-we-need-https/,2020-09-17,en,"#Netzwerktechnik, #Sicherheit","#Networking, #Security",howhttps.works,,🙀 A cat explains how HTTPS works...in a comic! 😻,Wie funktioniert https? Eine auflockernde Erklärung mithilfe von Comics.,How does https work? A light-hearted explanation with the help of comics.,https://howhttps.works/assets/images/how-https-works-open-graph.png
old-alt-text-advice-–-html-accessibility,Old alt text advice – HTML Accessibility,https://html5accessibility.com/stuff/2024/11/23/old-alt-text-advice/,2024-11-29,en,#Barrierefreiheit,#Accessibility,html5accessibility.com,,"Text alternatives, are a primary way of making visual information accessible, because they can be rendered through many sensory modalities (for example, visual, auditory or tactile) to match the needs of the user.","Alt-Text ist nicht gleich Alt-Text. Es gibt einige verschiedene Anwendungsarten, die in diesem Artikel ausführlich beschrieben werden.","Not all alt text is the same. There are several different types of application, which are described in detail in this article.",
i-hate-regex-the-regex-cheat-sheet,i Hate Regex - The Regex Cheat Sheet,https://ihateregex.io/,2021-03-21,en,#Regex,#Regex,ihateregex.io,,i Hate Regex is a regex cheat sheet that also explains the commonly used expressions so that you understand it. Stop hating and start learning.,Reguläre Ausdrücke lassen sich einfach schwer einprägen. Diese Website enthält eine Sammlung von praktischen Beispielen.,Regular expressions are difficult to memorize. This website contains a collection of practical examples.,
isoflow-network-diagrams,Isoflow | Network Diagrams,https://isoflow.io/,2020-08-25,en,"#Diagramm, #Webapp","#Diagram, #WebApp",isoflow.io,,Visualise your architecture. In minutes.,Isoflow ist ein Tool um visuell ansprechende Diagramme zu erstellen.,Isoflow is a tool for creating visually appealing diagrams.,
software-localization-on-autopilot,Localazy,https://localazy.com/,2021-01-10,en,#Uebersetzung,#Translation,localazy.com,,"Made for developers and easy for anybody else, Localazy is number 1 choice for digital product teams worldwide.",Ich habe bisher keine Erfahrung mit localazy gemacht. Es scheint jedoch ein umfangreiches und spannendes Übersetzungstool zu sein.,"I have not yet had any experience with localazy. However, it seems to be a comprehensive and exciting translation tool.",https://directus9.localazy.com/assets/1cf3ef00-d00d-4720-9695-69e17bd932ca.png
keep-the-footer-at-the-bottom-flexbox-vs-grid,Keep the Footer at the Bottom: Flexbox vs. Grid,https://moderncss.dev/keep-the-footer-at-the-bottom-flexbox-vs-grid/,2020-12-28,en,"#CSS, #Webentwicklung","#CSS, #Webdev",moderncss.dev,,"Floating footers can occur for many reasons, but modern CSS methods using either flexbox or CSS grid let us plan a future-proof solution for any size layout.","Moderne Möglichkeiten wie mit CSS der Footer immer am unteren Bildschirmrand angezeigt wird, egal wieviel Inhalt die aktuelle Seite enthält.","Modern ways of using CSS to always display the footer at the bottom of the screen, no matter how much content the current page contains.",https://moderncss.dev/img/social/keep-the-footer-at-the-bottom-flexbox-vs-grid.png
openmoji,OpenMoji,https://openmoji.org/,2020-12-19,en,#Icons,#Icons,openmoji.org,,"Open source emojis for designers, developers and everyone else!",Eine Open Source Alternative von Emojis.,An open source alternative to emojis.,https://raw.githubusercontent.com/hfg-gmuend/openmoji/master/color/618x618/1F64B.png
open-source-alternatives-to-proprietary-software,Open Source Alternatives To Proprietary Software,https://opensourcealternative.to/,2024-08-19,en,#Verzeichnis,#Directory,opensourcealternative.to,,The world's largest directory for open source software. Discover 500+ popular open source alternatives to proprietary software products. 100% free.,Damit kann nach einer OpenSource Alternative für eine verwendetes Tool gesucht werden.,This can be used to search for an OpenSource alternative for a tool used.,https://lafptocsuil8sakp.public.blob.vercel-storage.com/og-8hD3z53UHLHVtSFHRJlooI2zNiPKaN.png
personal-sit.es,PersonalSit.es,https://personalsit.es/,2024-08-18,en,#Verzeichnis,#Directory,personalsit.es,,"Personal sites are sick as hell, so this site was built so we can all discover each other's. This directory of links are by folks that want to share their site with the world.",Lasse dich inspirieren von anderen persönlichen Websites.,Be inspired by other personal websites.,https://personalsit.es/assets/images/opengraph.jpg
4-css-layouts-without-using-media-queries-polypane,4 CSS layouts without using media queries | Polypane,https://polypane.app/blog/4-css-layouts-without-using-media-queries/,2021-03-21,en,"#CSS, #Responsive","#CSS, #Responsive",polypane.app,,Do you always need media queries to make a website responsive? With flexbox and grid you can make responsive layoutswithout having to define fixed breakpoints…,Am Beispiel eines Formulars mit zwei Inputfeldern und einem Button entstehen vier verschiedene Layouts ohne Media Query Breakpoints zu nutzen.,"Using the example of a form with two input fields and a button, four different layouts are created without using media query breakpoints.",https://polypane.app/og-images/4-css-layouts-without-using-media-queries.png
post-css-preset-env,postcss-preset-env,https://preset-env.cssdb.org/,2020-07-21,en,"#CSS, #Webentwicklung","#CSS, #Webdev",preset-env.cssdb.org,,"PostCSS Preset Env lets you transform modern CSS so most browsers can understand, determining the polyfills you need based on the browsers you want.","Viele wertvolle Neuerungen in CSS werden mittlerweile von den Browsern unterstützt. postcss-preset-env ist ein spannendes Tool um noch weitere, künftige Möglichkeiten bereits heute zu nutzen.",Many valuable new features in CSS are now supported by browsers. postcss-preset-env is an exciting tool for using even more future possibilities today.,https://cssdb.org/images/share-default.png
accessability-2-a-practical-handbook-on-accessible-graphic-design,AccessAbility 2: A Practical Handbook on Accessible Graphic Design,https://rgd.ca/working-in-design/resources/accessability-2-a-practical-handbook-on-accessible-graphic-design,2021-03-01,en,"#Barrierefreiheit, #Print, #Typografie","#Accessibility, #Print, #Typography",rgd.ca,,"AccessAbility 2: A Practical Handbook on Accessible Graphic Design_ provides practical information, insights and advice for creating more accessible design work.",Ein praktisches Handbuch für barrierefreies Grafikdesign.,A practical handbook for accessible graphic design.,https://craft-cms-s3.s3.amazonaws.com/assets/images/resources/Header%20Images/_metaImage/placeholder-15.png
security-headers,Security Headers,https://securityheaders.com/,2024-08-19,en,#Sicherheit,#Security,securityheaders.com,,Quickly and easily assess the security of your HTTP response headers,Mit diesem Tool lässt sich eine Webseite überprüfen ob sie Sicherheitsfeatures im HTTP Header implementiert hat.,This tool can be used to check whether a website has implemented security features in the HTTP header.,https://securityheaders.com/images/security-headers.png
animated-drawings-meta-fair,Animated Drawings | Meta FAIR,https://sketch.metademolab.com/,2024-09-05,en,"#Animation, #KI","#Animation, #AI",metademolab.com,,Transform static sketches into fun animations.,Ein KI Tool um gezeichneten Figuren Leben einzuhauchen.,An AI tool to breathe life into drawn figures.,
10-css-snippets-for-creating-stunning-animated-underline-text-effects,10 CSS Snippets for Creating Stunning Animated Underline Text Effects,https://speckyboy.com/underline-text-effects-css/,2021-03-14,en,"#Animation, #CSS","#Animation, #CSS",speckyboy.com,,"You may not think there's a lot you can do with standard text underlines, but if you delve into CSS animation you'll see just how much you really can do!",Der Blogpost bietet Inspiration für animierte Unterstriche für Links.,The blog post provides inspiration for animated underlines for links.,https://speckyboy.com/wp-content/uploads/2017/10/underline-thumb.jpg
state-of-css,State of CSS,https://stateofcss.com/en-US,2020-10-23,en,"#CSS, #Webentwicklung","#CSS, #Webdev",stateofcss.com,,The annual developer survey about the latest trends in CSS,State of CSS ist eine Auswertung einer jährlichen Umfrage zu den Kenntnissen der CSS Möglichkeiten und Eigenschaften.,State of CSS is an evaluation of an annual survey on the knowledge of CSS possibilities and features.,
svg-hub,SVG Hub,https://svghub.vercel.app/,2024-08-19,en,#SVG,#SVG,svghub.vercel.app,,SVG Hub | Custom-color elements ready to paste into your project,"Eine Galerie von SVG Grafiken, denen ein gewünschtes Farbschema zugewiesen werden kann. Die erzeugte SVG Grafik kann danach heruntergeladen werden.",A gallery of SVG graphics to which a desired color scheme can be assigned. The generated SVG graphic can then be downloaded.,https://raw.githubusercontent.com/danielcranney/repo-storage/main/svghub-social-image.png
tiny-helpers,Tiny Helpers,https://tiny-helpers.dev/,2024-08-19,en,#Verzeichnis,#Directory,tiny-helpers.dev,,A collection of free single-purpose online tools for web developers...,Eine riesige Sammlung praktischer und kostenloser Tools für Webentwickler.,A huge collection of practical and free tools for web developers.,https://tiny-helpers.dev/large-media-image.jpg
fast-load-times,Fast load times,https://web.dev/explore/fast,2021-03-14,en,#Performance,#Performance,web.dev,,"Web performance is a crucial aspect of web development that focuses on the speed at which pages load, as well as how responsive they are to user input. When you optimize your website for performance, you're giving users a better experience.","Ein Bereich auf web.dev, welcher sich voll dem Thema Performance richtet.",A section on web.dev that is fully dedicated to the topic of performance.,https://web.dev/static/images/social-wide.jpg
using-voiceover-to-evaluate-web-accessibility,WebAIM: Using VoiceOver to Evaluate Web Accessibility,https://webaim.org/articles/voiceover/,2021-03-15,en,#Barrierefreiheit,#Accessibility,webaim.org,,"VoiceOver is a screen reader program that comes on new Mac computers, iPhones, iPads, and iPod touches. This article is designed to help users who are new to VoiceOver learn the basic controls for testing web content, and to serve as a reference for the occasional VoiceOver user.",Eine umfangreiche Sammlung von Tastenbefehlen für VoiceOver.,An extensive collection of key commands for VoiceOver.,
how-to-make-custom-accessible-checkboxes-and-radio-buttons,How to Make Custom Accessible Checkboxes and Radio Buttons,https://webdesign.tutsplus.com/how-to-make-custom-accessible-checkboxes-and-radio-buttons--cms-32074t,2021-03-01,en,"#Barrierefreiheit, #Formular, #HTML","#Accessibility, #Form, #HTML",webdesign.tutsplus.com,,Form elements like checkboxes and radio buttons look different depending on the user’s browser and operating system. For this reason designers and developers have long been styling their own...,Es braucht etwas mehr um das Standardaussehen die Formularfelder Checkbox und Radio Button umzugestalten. Die Anleitung zeigt eine barrierefreie Lösung.,It takes a little more to redesign the standard appearance of the form fields checkbox and radio button. The instructions show an accessible solution.,https://cms-assets.tutsplus.com/uploads/users/30/posts/32074/preview_image/pre.png
herausforderung-der-richtige-alternativtext,Herausforderung: Der richtige Alternativtext,https://www.barrierefreies-webdesign.de/knowhow/textalternative/herausforderung.html,2021-03-14,de,#Barrierefreiheit,#Accessibility,barrierefreies-webdesign.de,,"Auch wenn Bilder mehr als tausend Worte sagen können, so müssen wesentliche Informationen und beabsichtigte Emotionen eines Bilds als Text formuliert werden.",Eine kurze Anleitung um einen barrierefreien Alternativtext zu schreiben,A short guide to writing an accessible alternative text,
can-i-email,Can I email…,https://www.caniemail.com/,2021-02-19,en,"#E-Mail, #Newsletter","#eMail, #Newsletter",caniemail.com,,Support tables for HTML and CSS in emails,Analog caniuse.com können mit caniemail.com Features geprüft werden ob und durch welche E-Mail-Clients sie unterstützt werden.,"Similar to caniuse.com, caniemail.com can be used to check whether features are supported and by which e-mail clients.",https://www.caniemail.com/assets/images/og.png
cmyktastic-–-nachschlagewerk-für-polygrafen,cmyktastic – Nachschlagewerk für Polygrafen,https://www.cmyktastic.ch/,2021-03-21,de,"#Typografie, #Bildoptimierung","#Typography, #ImageOptimization",cmyktastic.ch,,"Du bist hier auf cmyktastic.ch, ein Nachschlagewerk für Polygrafen.","Themengebieten eines Polygrafen ansprechend zusammengefasst. Ein tolles Projekt, welches von Lernenden der Stämpfli AG entstanden ist.",The topics of a polygraph are summarized in an appealing way. A great project created by apprentices at Stämpfli AG.,
bilder-schaerfen-in-photoshop,Bilder schärfen in Photoshop,https://www.designerinaction.de/tipps-tricks/photoshop/bilder-schaerfen/,2020-10-11,de,#Photoshop,#Photoshop,designerinaction.de,,"Welche Techniken es gibt, um Bilder schärfen zu können, zeigt diese Tutorials. Beschrieben werden gängige Methoden aus der Praxis mit Photoshop.",Viele Wege führen nach Rom oder zur gewünschten Schärfe eines Bildes. Im Artikel werden verschiedene Methoden in Photoshop gezeigt.,Many roads lead to Rome or to the desired sharpness of an image. The article shows various methods in Photoshop.,https://www.designerinaction.de/wp-content/uploads/2020/10/bilder-schaerfen.jpg
prevent-layout-shifts-with-css-grid-stacks,Prevent layout shifts with CSS grid stacks,https://www.hsablonniere.com/prevent-layout-shifts-with-css-grid-stacks--qcj5jo/,2020-11-26,en,"#CSS, #Webentwicklung","#CSS, #Webdev",hsablonniere.com,,Detailed explanation with real examples of a CSS grid technique I used to prevent layout shifts when a component state changes.,"Layout Shifts sind störende Verschiebungen des Layouts, die durch eine Aktion ausgelöst werden. Dieser Erfahrungsbericht zeigt wie dies mit CSS Grid verhindert werden konnte.",Layout shifts are disruptive shifts in the layout that are triggered by an action. This experience report shows how this could be prevented with CSS Grid.,https://www.hsablonniere.com/prevent-layout-shifts-with-css-grid-stacks--qcj5jo/opengraph.1cf6b3f5.jpg
beyond-automatic-accessibility-testing-6-things-i-check-on-every-website-i-build,Beyond automatic accessibility testing: 6 things I check on every website I build - Manuel Matuzovic,https://www.matuzo.at/blog/beyond-automatic-accessibility-testing-6-things-i-check-on-every-website-i-build/,2020-07-31,en,"#Barrierefreiheit, #Testen, #Webentwicklung","#Accessibility, #Testing, #Webdev",www.matuzo.at,,A small collection of accessibility checks I perform in every site I audit and build.,Automatische Accessibility-Tests sind gut und nützlich. Aber sie ersetzen die manuelle Prüfung nicht. Manuel zeigt in seinem Blopost ein paar praktische Tipps wie getestet werden kann.,Automatic accessibility tests are good and useful. But they are no substitute for manual testing. Manuel shows a few practical tips on how to test in his blog post.,https://res.cloudinary.com/dp3mem7or/image/upload/w_1200/articles/a11y-test/a11y_tips_step1.jpg?s=213
print-css-rocks,print-css.rocks,https://www.print-css.rocks/,2020-10-01,en,#PrintCSS,#PrintCSS,print-css.rocks,,"PrintCSS/CSS Paged Media (PDF generation from XML and HTML using CSS stylesheets) tutorial and showcase with lessons, tool descriptions and comparions. PDFreactor Antennahouse PrinceXML","Wer sich für PrintCSS interessiert, kommt nicht an dieser Gegenüberstellung der bekanntesten Lösungen vorbei.",Anyone interested in PrintCSS will not be able to avoid this comparison of the best-known solutions.,
inclusively-hiding-and-styling-checkboxes-and-radio-buttons,Inclusively Hiding & Styling Checkboxes and Radio Buttons,https://www.sarasoueidan.com/blog/inclusively-hiding-and-styling-checkboxes-and-radio-buttons/,2020-08-18,en,"#Barrierefreiheit, #CSS, #Formular, #SVG, #Webentwicklung","#Accessibility, #CSS, #Form, #SVG, #Webdev",sarasoueidan.com,,Checkboxes and radio buttons are two common examples of interactive form elements that we desperately want to have full control over styling but we don’t.,Checkboxen und Optionsfelder lassen sich leider nicht so einfach mit CSS gestalten. Sara zeigt auf wie man es mit SVG Grafiken und zudem barrierfrei umsetzen kann.,"Unfortunately, checkboxes and radio buttons are not so easy to design with CSS. Sara shows how you can implement it with SVG graphics and also barrier-free.",https://sarasoueidan.com/og.png
a-complete-guide-to-accessible-front-end-components-smashing-magazine,A Complete Guide To Accessible Front-End Components — Smashing Magazine,https://www.smashingmagazine.com/2021/03/complete-guide-accessible-front-end-components/#accessible-cards,2021-03-22,en,"#Barrierefreiheit, #Webentwicklung","#Accessibility, #Webdev",smashingmagazine.com,,"In a new short series of posts, we highlight some of the useful tools and techniques for developers and designers. Recently we’ve covered CSS Auditing Tools and CSS Generators, and this time we look into reliable accessible components: from tabs and tables to toggles and tooltips. We sincerely hope that these tools and techniques will prove to be useful in your day-to-day work — and most importantly help you avoid some time-consuming, routine tasks.",In diesem Beitrag werden Frontend Komponenten auf Best-Practice hinsichtlich der Barrierefreiheit beleuchtet.,"In this article, frontend components are examined for best practice regarding to accessibility.",https://archive.smashing.media/assets/344dbf88-fdf9-42bb-adb4-46f01eedd629/95f370ca-7565-4f7f-9785-2b83046fb983/14-accessible-frontend-components.png
andi-accessibility-testing-tool,ANDI - Accessibility Testing Tool,https://www.ssa.gov/accessibility/andi/help/install.html,2021-03-01,en,"#Barrierefreiheit, #Testen","#Accessibility, #Testing",ssa.gov,,ANDI accessibility testing tool. A free tool to test websites for accessibility.,Ein Bookmarklet für die Überprüfung der Barrierefreiheit einer Website.,A bookmarklet for checking the accessibility of a website.,
an-overview-of-pdf-inaccessibility,An Overview of PDF Inaccessibility,https://www.tpgi.com/pdf-inaccessibility/,2021-02-25,en,"#Barrierefreiheit, #PDF","#Accessibility, #PDF",tpgi.com,,"Learn about the structure and history of PDFs, why many PDFs are inaccessible, and potential avenues for PDF accessibility.",Eine Zusammenfassung zur Herausforderung von barrierefreien PDF-Dokumenten.,A summary of the challenge of accessible PDF documents.,
typogrep,TypoGREP · Kompendium für automatisierte Typografie,https://www.typogrep.de/,2020-11-09,de,"#InDesign, #Typografie","#InDesign, #Typography",typogrep.de,,"Typogrep ist das Nachschlagewerk für GREP, Reguläre Ausdrücke und automatisierte Typografie im Kontext von Desktop-Publishing.",In InDesign werden mithilfe von regulären Ausdrücken gezieltere Suchabfragen gemacht oder automatisierte Formate angelegt. Dieses Nachschlagewerk hilft dir dabei.,"In InDesign, regular expressions are used to make more targeted search queries or create automated formats. This reference book will help you.",
